id,name,code,codgerente,active,district_ids:id
caracas,CARACAS,00001,HZ04,True,
este,ESTE,00002,FM01,True,
centro_este,CENTRO ESTE,00003,BM04,True,
centro_oeste,CENTRO OESTE,00004,LE05,True,
andes,ANDES,00005,TM37,True,
maracaibo,MARACAIBO,00006,MA61,True,
corporativo,CORPORATIVO,00007,,True,
centro_llanos,CENTRO LLANOS,00008,,True,
cuentas_claves,CUENTAS CLAVES,00009,,True,
no_asociada,NO ASOCIADA,99999,GR004,True,
