id,code,name,status,product_category_id:id,ref
product_subtype_1,1,ALIVIO Y PREVENCION,True,type_1,1
product_subtype_2,2,MERCADEO,True,type_2,10
product_subtype_3,3,COMPLEMENTOS ALIMENTICIOS EN POLVO,True,type_1,12
product_subtype_4,4,JUGOS NECTARES Y COCTELES,True,type_1,13
product_subtype_5,5,MERCADEO,True,type_3,14
product_subtype_6,6,ALIVIO Y PREVENCION,True,type_4,15
product_subtype_7,7,BELLEZA NATURAL,True,type_4,16
product_subtype_8,8,DIETA Y ENERGIA,True,type_4,17
product_subtype_9,9,NUTRICIONAL Y METABOLICA,True,type_4,18
product_subtype_10,10,PREPARADOS OFICINALES,True,type_4,19
product_subtype_11,11,BEBIDAS,True,type_1,2
product_subtype_12,12,PRODUCTOS HOMEOPATICOS,True,type_4,20
product_subtype_13,13,VITAMINAS Y MINERALES,True,type_4,21
product_subtype_14,14,BEBIDAS INSTANTANEAS,True,type_1,27
product_subtype_15,15,BEBIDAS LARGA DURACION,True,type_1,28
product_subtype_16,16,ENTRETENIMIENTO,True,type_2,31
product_subtype_17,17,HOGAR,True,type_2,32
product_subtype_18,18,MODIFICADORES DE LECHE,True,type_1,34
product_subtype_19,19,PASAPALOS Y CONFITES,True,type_1,35
product_subtype_20,20,VÍVERES,True,type_1,36
product_subtype_21,21,DIETA Y ENERGIA,True,type_1,37
product_subtype_22,22,LINEA NUTRICIONAL Y METABOLICA,True,type_1,4
product_subtype_23,23,ACCESORIOS PARA EL HOGAR,True,type_2,40
product_subtype_24,24,GENERICOS,True,type_4,41
product_subtype_25,25,MARCA,True,type_1,42
product_subtype_26,26,MARCA,True,type_4,43
product_subtype_27,27,VITAMINAS Y MINERALES,True,type_1,5
product_subtype_28,28,CUIDADO DEL BEBE,True,type_2,6
product_subtype_29,29,CUIDADO PERSONAL,True,type_2,7
product_subtype_30,30,PREVENCION Y CUIDADOS,True,type_2,8
product_subtype_31,31,MARCA,True,type_3,EFM0001
product_subtype_32,32,MARCA,True,type_5,EFS0001
product_subtype_33,33,GENERICOS,True,type_3,GEM0001
product_subtype_34,34,GENERICOS,True,type_5,GES0001
